Facility ID,Property type,Rating snapshot date,Original Loan Amount,Principal Repayment Type,Current Loan Balance,Interest rate,Property value,Net operating income,Contractual term,Months to maturity,Annual tenant turnover,Region,Property Class,Default flag
ABC1002175,Retail space,1/1/2015," $6,879,180.55 ", Partially amortizing ," $6,351,776.71 ",7.11%," $8,707,823.48 "," $937,832.59 ",120,97,4%,Northeast,N/A,0
ABC1002176,Multifamily residential,1/1/2015," $3,277,725.05 ", Partially amortizing ," $2,654,957.29 ",6.41%," $4,892,126.94 "," $362,506.61 ",120,63,12%,Midwest,N/A,0
ABC1002177,Office building,1/1/2021," $1,629,834.67 ", Fully amortizing ," $1,602,670.76 ",5.22%," $2,202,479.28 "," $204,830.57 ",60,59,26%,Northeast,Class A,0
ABC1002178,Office building,1/1/2021," $3,720,845.89 ", Fully amortizing ," $310,070.49 ",7.18%," $5,240,628.01 "," $434,448.06 ",120,10,29%,Northeast,Class B,0
ABC1002179,Multifamily residential,1/1/2022," $7,104,115.98 ", Partially amortizing ," $6,867,312.11 ",6.05%," $10,603,158.18 "," $875,820.87 ",120,110,11%,Northeast,N/A,0
ABC1002180,Office building,1/1/2022," $1,992,640.82 ", Partially amortizing ," $1,886,366.64 ",6.31%," $2,806,536.36 "," $136,117.01 ",60,44,7%,South,Class B,0
ABC1002181,Office building,1/1/2022," $3,369,745.02 ", Partially amortizing ," $2,347,589.03 ",6.04%," $7,020,302.13 "," $344,696.83 ",120,29,14%,Northeast,Class B,0
ABC1002182,Multifamily residential,1/1/2020," $1,336,835.90 ", Fully amortizing ," $178,244.79 ",7.51%," $1,965,935.15 "," $130,734.69 ",120,16,28%,Northeast,N/A,0
ABC1002183,Multifamily residential,1/1/2016," $6,211,716.58 ", Fully amortizing ," $1,656,457.75 ",6.83%," $9,556,487.05 "," $743,494.69 ",60,16,39%,Midwest,N/A,0
ABC1002184,Retail space,1/1/2016," $1,698,425.72 ", Partially amortizing ," $1,415,354.77 ",7.50%," $2,358,924.62 "," $165,832.40 ",60,10,7%,Northeast,N/A,0
ABC1002185,Multifamily residential,1/1/2017," $7,172,608.78 ", Fully amortizing ," $5,379,456.59 ",6.15%," $12,583,524.18 "," $684,543.72 ",60,45,2%,Northeast,N/A,0
ABC1002186,Multifamily residential,1/1/2018," $4,351,185.16 ", Partially amortizing ," $3,930,570.60 ",6.12%," $5,879,979.95 "," $221,087.25 ",60,31,1%,Northeast,N/A,0
ABC1002187,Office building,1/1/2016," $2,869,672.84 ", Fully amortizing ," $2,104,426.75 ",7.30%," $4,555,036.25 "," $239,139.40 ",60,44,7%,South,Class B,0
ABC1002188,Retail space,1/1/2017," $4,050,234.07 ", Partially amortizing ," $2,646,152.93 ",7.62%," $5,260,044.25 "," $301,926.54 ",120,16,5%,South,N/A,1
ABC1002189,Retail space,1/1/2021," $9,200,830.28 ", Partially amortizing ," $8,464,763.86 ",4.94%," $11,949,130.24 "," $799,396.81 ",60,36,22%,South,N/A,0
ABC1002190,Retail space,1/1/2022," $14,323,323.92 ", Fully amortizing ," $1,074,249.29 ",6.21%," $23,872,206.54 "," $1,618,535.60 ",120,9,1%,Northeast,N/A,0
ABC1002191,Multifamily residential,1/1/2019," $1,370,444.19 ", Partially amortizing ," $1,078,082.77 ",8.13%," $2,246,629.83 "," $189,390.89 ",120,56,15%,Northeast,N/A,0
ABC1002192,Office building,1/1/2023," $1,462,916.89 ", Partially amortizing ," $1,228,850.18 ",7.62%," $2,031,829.01 "," $176,362.76 ",180,132,31%,South,Class C,0
ABC1002193,Multifamily residential,1/1/2023," $1,768,544.32 ", Fully amortizing ," $1,562,214.15 ",6.31%," $2,456,311.55 "," $180,293.27 ",120,106,15%,South,N/A,1
ABC1002194,Retail space,1/1/2019," $2,121,169.59 ", Partially amortizing ," $1,916,123.20 ",6.17%," $3,477,327.20 "," $364,771.62 ",60,31,14%,Northeast,N/A,0
ABC1002195,Retail space,1/1/2022," $11,463,274.40 ", Partially amortizing ," $7,680,393.85 ",6.65%," $19,429,278.65 "," $1,556,285.22 ",120,21,10%,Northeast,N/A,0
ABC1002196,Retail space,1/1/2017," $7,113,598.01 ", Partially amortizing ," $5,975,422.33 ",6.27%," $10,617,310.47 "," $680,569.60 ",60,12,29%,South,N/A,0
ABC1002197,Office building,1/1/2016," $1,118,341.02 ", Fully amortizing ," $913,311.83 ",7.65%," $1,620,784.08 "," $92,708.85 ",60,49,3%,Midwest,Class A,0
ABC1002198,Multifamily residential,1/1/2016," $2,271,315.00 ", Partially amortizing ," $1,877,620.40 ",6.79%," $2,988,572.37 "," $200,234.35 ",60,8,31%,West,N/A,0
ABC1002199,Retail space,1/1/2015," $2,333,404.31 ", Fully amortizing ," $466,680.86 ",6.76%," $3,030,395.21 "," $289,705.78 ",120,24,34%,Northeast,N/A,0
ABC1002200,Multifamily residential,1/1/2018," $6,836,867.48 ", Partially amortizing ," $6,517,813.66 ",7.31%," $9,766,953.54 "," $363,330.67 ",120,106,11%,South,N/A,0
ABC1002201,Retail space,1/1/2022," $4,724,120.84 ", Partially amortizing ," $4,141,479.27 ",6.55%," $6,846,551.94 "," $379,298.98 ",120,83,7%,Northeast,N/A,0
ABC1002202,Multifamily residential,1/1/2016," $6,150,472.72 ", Fully amortizing ," $5,432,917.57 ",6.79%," $10,250,787.86 "," $1,072,232.41 ",60,53,15%,South,N/A,0
ABC1002203,Multifamily residential,1/1/2019," $5,072,481.04 ", Partially amortizing ," $4,987,939.69 ",5.84%," $8,051,557.21 "," $399,357.24 ",60,55,30%,South,N/A,0
ABC1002204,Retail space,1/1/2020," $6,878,259.73 ", Fully amortizing ," $3,725,724.02 ",7.92%," $11,275,835.63 "," $623,553.71 ",120,65,23%,Northeast,N/A,0
ABC1002205,Multifamily residential,1/1/2018," $2,306,308.90 ", Partially amortizing ," $2,283,245.81 ",7.18%," $3,908,998.13 "," $383,863.62 ",120,117,15%,Midwest,N/A,0
ABC1002206,Office building,1/1/2017," $6,550,199.70 ", Partially amortizing ," $5,458,499.75 ",6.90%," $8,733,599.61 "," $641,046.21 ",120,70,2%,South,Class A,0
ABC1002207,Office building,1/1/2017," $788,752.03 ", Partially amortizing ," $728,281.04 ",7.60%," $1,272,180.69 "," $144,646.94 ",120,97,28%,South,Class A,0
ABC1002208,Retail space,1/1/2022," $2,593,210.98 ", Partially amortizing ," $1,936,264.20 ",6.80%," $4,116,207.91 "," $318,182.87 ",120,44,26%,Northeast,N/A,0
ABC1002209,Retail space,1/1/2019," $6,832,064.90 ", Partially amortizing ," $4,304,200.89 ",7.40%," $10,047,154.27 "," $1,024,809.74 ",120,9,1%,South,N/A,0
ABC1002210,Office building,1/1/2017," $1,810,924.89 ", Partially amortizing ," $1,629,832.40 ",6.12%," $3,550,833.11 "," $177,896.74 ",60,30,2%,South,Class C,0
ABC1002211,Office building,1/1/2016," $2,250,129.54 ", Partially amortizing ," $1,545,088.95 ",7.36%," $3,169,196.54 "," $96,026.66 ",120,26,10%,Northeast,Class C,0
ABC1002212,Multifamily residential,1/1/2020," $972,005.47 ", Partially amortizing ," $952,565.36 ",7.86%," $1,472,735.57 "," $51,545.74 ",120,114,2%,Northeast,N/A,0
ABC1002213,Office building,1/1/2018," $1,724,063.51 ", Fully amortizing ," $1,130,219.42 ",6.81%," $2,972,523.30 "," $160,516.26 ",180,118,5%,South,Class C,0
ABC1002214,Retail space,1/1/2017," $606,597.11 ", Partially amortizing ," $499,431.62 ",6.12%," $994,421.49 "," $29,733.20 ",60,7,8%,Northeast,N/A,0
ABC1002215,Retail space,1/1/2022," $1,712,185.80 ", Fully amortizing ," $799,020.04 ",5.41%," $2,378,035.83 "," $155,047.94 ",60,28,36%,South,N/A,0
ABC1002216,Retail space,1/1/2019," $2,245,568.67 ", Partially amortizing ," $2,208,142.53 ",7.56%," $3,681,260.12 "," $166,761.08 ",120,115,10%,South,N/A,0
ABC1002217,Multifamily residential,1/1/2020," $468,364.48 ", Partially amortizing ," $455,874.77 ",5.58%," $608,265.56 "," $48,296.29 ",60,52,11%,South,N/A,0
ABC1002218,Retail space,1/1/2019," $1,045,763.11 ", Partially amortizing ," $927,243.29 ",7.97%," $1,584,489.57 "," $103,784.07 ",120,86,12%,Midwest,N/A,0
ABC1002219,Retail space,1/1/2021," $23,901,578.36 ", Partially amortizing ," $19,758,638.11 ",5.82%," $32,299,430.22 "," $2,955,397.87 ",60,8,29%,Northeast,N/A,0
ABC1002220,Office building,1/1/2019," $2,592,362.16 ", Partially amortizing ," $2,419,538.02 ",5.82%," $3,456,482.88 "," $246,447.23 ",60,40,8%,Northeast,Class A,0
ABC1002221,Multifamily residential,1/1/2021," $4,034,641.37 ", Fully amortizing ," $403,464.14 ",6.89%," $6,207,140.56 "," $646,784.05 ",120,12,9%,Northeast,N/A,0
ABC1002222,Multifamily residential,1/1/2022," $1,142,851.96 ", Partially amortizing ," $1,081,899.85 ",5.48%," $1,937,037.22 "," $85,229.64 ",60,44,28%,South,N/A,0
ABC1002223,Retail space,1/1/2018," $10,786,813.20 ", Partially amortizing ," $5,788,923.08 ",6.63%," $12,257,742.27 "," $630,047.95 ",180,41,2%,Midwest,N/A,0
ABC1002224,Office building,1/1/2021," $2,083,794.16 ", Partially amortizing ," $1,958,766.52 ",5.34%," $3,205,837.18 "," $216,073.43 ",60,42,23%,South,Class C,0
ABC1002225,Office building,1/1/2019," $3,389,450.71 ", Fully amortizing ," $2,221,973.25 ",6.43%," $5,380,080.50 "," $419,646.28 ",180,118,2%,Northeast,Class A,0
ABC1002226,Retail space,1/1/2022," $3,257,641.01 ", Partially amortizing ," $2,703,842.04 ",5.72%," $5,340,395.10 "," $234,443.34 ",60,9,6%,Northeast,N/A,0
ABC1002227,Retail space,1/1/2017," $9,446,632.74 ", Partially amortizing ," $9,352,166.41 ",5.95%," $13,495,189.63 "," $1,376,509.34 ",60,57,29%,Northeast,N/A,0
ABC1002228,Multifamily residential,1/1/2017," $3,126,643.68 ", Partially amortizing ," $2,428,359.92 ",7.06%," $6,652,433.36 "," $604,040.95 ",120,53,8%,Midwest,N/A,0
ABC1002229,Retail space,1/1/2021," $8,315,845.05 ", Partially amortizing ," $6,486,359.14 ",7.70%," $9,899,815.54 "," $970,181.92 ",120,54,12%,Northeast,N/A,0
ABC1002230,Office building,1/1/2018," $8,309,884.22 ", Partially amortizing ," $6,758,705.83 ",5.63%," $12,984,194.09 "," $1,249,079.47 ",60,4,10%,Northeast,Class A,1
ABC1002231,Multifamily residential,1/1/2017," $208,521.96 ", Fully amortizing ," $76,458.05 ",6.51%," $302,205.74 "," $24,690.21 ",60,22,11%,Northeast,N/A,0
ABC1002232,Multifamily residential,1/1/2016," $1,299,934.20 ", Partially amortizing ," $1,256,603.06 ",6.92%," $2,031,147.19 "," $151,726.69 ",60,50,3%,South,N/A,0
ABC1002233,Multifamily residential,1/1/2016," $4,698,517.14 ", Partially amortizing ," $4,667,193.70 ",7.17%," $6,617,629.78 "," $730,586.33 ",60,58,10%,South,N/A,0
ABC1002234,Retail space,1/1/2017," $1,243,614.29 ", Partially amortizing ," $1,023,909.10 ",6.33%," $1,751,569.42 "," $159,217.66 ",60,7,11%,Northeast,N/A,0
ABC1002235,Multifamily residential,1/1/2017," $28,792,900.02 ", Partially amortizing ," $27,641,184.02 ",6.15%," $41,728,840.61 "," $3,100,452.86 ",60,48,7%,South,N/A,0
ABC1002236,Office building,1/1/2019," $3,932,050.69 ", Fully amortizing ," $1,540,053.19 ",8.05%," $5,041,090.63 "," $346,827.04 ",120,47,2%,Northeast,Class A,0
ABC1002237,Retail space,1/1/2022," $5,033,439.11 ", Partially amortizing ," $4,899,214.07 ",5.58%," $7,989,585.89 "," $836,509.64 ",60,52,14%,Midwest,N/A,0
ABC1002238,Office building,1/1/2016," $8,236,903.08 ", Partially amortizing ," $7,989,795.99 ",7.45%," $11,283,428.88 "," $638,642.07 ",60,51,30%,Northeast,Class B,0
ABC1002239,Office building,1/1/2016," $2,081,849.29 ", Partially amortizing ," $1,700,176.92 ",7.22%," $3,589,395.33 "," $243,719.94 ",60,5,4%,South,Class B,0
ABC1002240,Office building,1/1/2019," $10,681,830.27 ", Partially amortizing ," $8,296,221.51 ",7.79%," $13,872,506.85 "," $456,405.48 ",120,53,1%,South,Class B,0
ABC1002241,Retail space,1/1/2016," $2,632,622.63 ", Partially amortizing ," $1,974,466.97 ",7.78%," $4,618,636.19 "," $174,584.45 ",120,45,7%,South,N/A,0
ABC1002242,Retail space,1/1/2021," $5,178,871.84 ", Partially amortizing ," $4,730,036.28 ",6.85%," $7,294,185.69 "," $285,932.08 ",120,94,16%,Northeast,N/A,0
ABC1002243,Retail space,1/1/2015," $2,315,991.05 ", Partially amortizing ," $2,099,831.89 ",8.04%," $3,405,869.20 "," $386,566.15 ",60,32,1%,Northeast,N/A,0
ABC1002244,Retail space,1/1/2016," $3,355,884.33 ", Fully amortizing ," $139,828.51 ",6.96%," $5,243,569.27 "," $446,227.74 ",120,5,12%,Northeast,N/A,0
ABC1002245,Multifamily residential,1/1/2021," $3,485,756.54 ", Partially amortizing ," $3,183,657.64 ",6.98%," $5,532,946.89 "," $531,162.90 ",120,94,11%,Northeast,N/A,0
ABC1002246,Multifamily residential,1/1/2023," $1,632,883.78 ", Partially amortizing ," $1,420,608.89 ",6.28%," $2,512,128.89 "," $147,210.75 ",60,21,11%,Northeast,N/A,1
ABC1002247,Office building,1/1/2017," $2,909,549.90 ", Partially amortizing ," $2,618,594.91 ",6.46%," $4,216,738.98 "," $360,109.51 ",60,30,13%,South,Class A,1
ABC1002248,Office building,1/1/2019," $3,525,747.81 ", Partially amortizing ," $3,032,143.12 ",6.29%," $4,896,871.96 "," $285,487.64 ",60,18,1%,South,Class C,0
ABC1002249,Retail space,1/1/2021," $1,397,704.76 ", Fully amortizing ," $582,376.98 ",7.68%," $1,914,664.06 "," $95,350.27 ",120,50,11%,Northeast,N/A,0
ABC1002250,Multifamily residential,1/1/2020," $6,842,887.40 ", Fully amortizing ," $3,307,395.58 ",6.29%," $8,772,932.56 "," $793,950.40 ",180,87,1%,South,N/A,0
ABC1002251,Retail space,1/1/2022," $1,779,746.64 ", Partially amortizing ," $1,423,797.31 ",6.36%," $2,372,995.52 "," $250,588.33 ",120,60,40%,Northeast,N/A,0
ABC1002252,Multifamily residential,1/1/2019," $4,283,083.26 ", Partially amortizing ," $3,597,789.94 ",6.24%," $6,692,317.60 "," $395,515.97 ",60,12,3%,West,N/A,0
ABC1002253,Multifamily residential,1/1/2017," $9,725,730.26 ", Fully amortizing ," $729,429.77 ",6.93%," $15,437,667.08 "," $1,196,419.20 ",120,9,14%,Northeast,N/A,0
ABC1002254,Multifamily residential,1/1/2017," $713,423.71 ", Partially amortizing ," $675,374.45 ",6.18%," $990,866.27 "," $88,484.36 ",60,44,28%,South,N/A,0
ABC1002255,Multifamily residential,1/1/2018," $2,561,495.28 ", Partially amortizing ," $2,100,426.13 ",5.88%," $3,370,388.53 "," $312,772.06 ",60,6,9%,Northeast,N/A,0
ABC1002256,Office building,1/1/2019," $711,961.27 ", Partially amortizing ," $647,884.75 ",7.48%," $1,582,136.15 "," $47,464.08 ",120,93,11%,Northeast,Class C,0
ABC1002257,Multifamily residential,1/1/2020," $778,373.34 ", Partially amortizing ," $568,212.54 ",7.55%," $1,111,961.91 "," $104,969.20 ",120,39,5%,West,N/A,0
ABC1002258,Retail space,1/1/2018," $876,870.96 ", Partially amortizing ," $751,186.13 ",6.03%," $1,349,032.25 "," $117,635.61 ",60,17,4%,Northeast,N/A,0
ABC1002259,Retail space,1/1/2022," $2,899,001.92 ", Fully amortizing ," $1,352,867.56 ",6.41%," $4,998,279.17 "," $347,380.40 ",120,56,7%,Midwest,N/A,0
ABC1002260,Retail space,1/1/2016," $4,364,506.22 ", Partially amortizing ," $3,884,410.54 ",7.66%," $5,524,691.42 "," $474,018.52 ",60,27,26%,South,N/A,0
ABC1002261,Multifamily residential,1/1/2023," $2,406,987.31 ", Partially amortizing ," $1,765,124.03 ",6.19%," $3,646,950.47 "," $374,906.51 ",120,40,7%,Midwest,N/A,0
ABC1002262,Multifamily residential,1/1/2018," $4,357,779.79 ", Fully amortizing ," $4,357,779.79 ",7.22%," $7,143,901.29 "," $475,069.44 ",120,120,36%,South,N/A,0
ABC1002263,Multifamily residential,1/1/2017," $982,715.98 ", Fully amortizing ," $114,650.20 ",6.31%," $1,611,009.81 "," $117,764.82 ",60,7,38%,Northeast,N/A,0
ABC1002264,Multifamily residential,1/1/2020," $614,440.97 ", Partially amortizing ," $477,215.82 ",7.42%," $1,007,280.27 "," $112,110.29 ",120,53,4%,Northeast,N/A,0
ABC1002265,Retail space,1/1/2019," $719,148.78 ", Partially amortizing ," $709,560.13 ",7.93%," $1,073,356.39 "," $70,412.18 ",120,116,15%,Northeast,N/A,0
ABC1002266,Multifamily residential,1/1/2020," $14,676,497.59 ", Partially amortizing ," $10,664,921.58 ",7.29%," $22,237,117.55 "," $1,850,128.18 ",120,38,10%,Midwest,N/A,0
ABC1002267,Multifamily residential,1/1/2016," $1,680,421.66 ", Fully amortizing ," $1,582,397.07 ",6.89%," $2,667,335.97 "," $156,839.36 ",120,113,14%,Midwest,N/A,0
ABC1002268,Multifamily residential,1/1/2018," $6,559,080.70 ", Fully amortizing ," $3,334,199.36 ",7.26%," $7,626,838.02 "," $647,518.55 ",120,61,2%,Midwest,N/A,0
ABC1002269,Retail space,1/1/2022," $4,986,505.50 ", Partially amortizing ," $4,188,664.62 ",5.61%," $6,830,829.46 "," $523,924.62 ",60,12,8%,Midwest,N/A,0
ABC1002270,Retail space,1/1/2018," $4,560,574.87 ", Partially amortizing ," $4,043,709.72 ",6.04%," $5,846,890.86 "," $518,034.53 ",60,26,3%,Northeast,N/A,0
ABC1002271,Retail space,1/1/2021," $2,993,637.08 ", Partially amortizing ," $2,474,739.99 ",7.49%," $3,695,848.25 "," $256,861.45 ",120,68,41%,South,N/A,0
ABC1002272,Retail space,1/1/2022," $2,321,461.90 ", Partially amortizing ," $1,539,903.06 ",6.17%," $3,464,868.50 "," $232,492.68 ",120,19,9%,Northeast,N/A,0
ABC1002273,Office building,1/1/2016," $2,261,653.53 ", Partially amortizing ," $1,816,861.67 ",7.12%," $3,277,758.74 "," $326,792.55 ",60,1,14%,Midwest,Class A,1
ABC1002274,Multifamily residential,1/1/2016," $1,737,209.05 ", Partially amortizing ," $1,488,209.09 ",7.51%," $3,047,735.18 "," $200,236.20 ",60,17,26%,Northeast,N/A,0
ABC1002275,Multifamily residential,1/1/2017," $1,079,598.26 ", Partially amortizing ," $816,896.01 ",7.08%," $1,611,340.68 "," $151,143.76 ",180,107,14%,Midwest,N/A,0
ABC1002276,Office building,1/1/2016," $12,667,243.48 ", Fully amortizing ," $2,427,888.33 ",7.53%," $17,117,896.60 "," $914,095.68 ",120,23,4%,Northeast,Class C,0
ABC1002277,Retail space,1/1/2020," $199,736.64 ", Partially amortizing ," $161,786.68 ",7.84%," $246,588.45 "," $14,598.04 ",120,63,51%,South,N/A,0
ABC1002278,Office building,1/1/2018," $684,415.57 ", Partially amortizing ," $663,883.11 ",5.78%," $1,316,183.79 "," $134,382.37 ",60,51,1%,Northeast,Class A,0
ABC1002279,Office building,1/1/2016," $577,121.78 ", Fully amortizing ," $67,330.87 ",7.08%," $824,459.68 "," $49,632.47 ",60,7,4%,West,Class A,0
ABC1002280,Multifamily residential,1/1/2021," $14,457,126.85 ", Partially amortizing ," $8,963,418.65 ",6.82%," $20,362,150.49 "," $1,372,408.94 ",120,6,14%,South,N/A,1
ABC1002281,Multifamily residential,1/1/2019," $8,220,756.17 ", Partially amortizing ," $7,261,667.95 ",6.50%," $9,559,018.81 "," $791,486.76 ",60,25,2%,West,N/A,1
ABC1002282,Multifamily residential,1/1/2020," $1,370,806.00 ", Partially amortizing ," $1,169,754.45 ",5.49%," $1,852,440.53 "," $132,819.99 ",60,16,10%,Midwest,N/A,0
ABC1002283,Multifamily residential,1/1/2019," $13,843,294.24 ", Fully amortizing ," $2,768,658.85 ",6.19%," $24,286,481.12 "," $1,304,184.04 ",60,12,12%,South,N/A,0
ABC1002284,Office building,1/1/2020," $755,595.91 ", Partially amortizing ," $599,439.42 ",7.99%," $1,180,618.60 "," $83,115.55 ",120,58,19%,Northeast,Class C,0
ABC1002285,Office building,1/1/2015," $7,634,102.29 ", Partially amortizing ," $6,896,139.07 ",7.58%," $10,316,354.45 "," $786,106.21 ",60,31,12%,Midwest,Class B,0
ABC1002286,Multifamily residential,1/1/2016," $659,565.13 ", Partially amortizing ," $652,969.48 ",7.25%," $999,341.11 "," $92,738.85 ",120,117,10%,Northeast,N/A,0
ABC1002287,Retail space,1/1/2020," $1,373,022.59 ", Fully amortizing ," $236,465.00 ",6.60%," $2,112,342.44 "," $268,689.96 ",180,31,51%,Northeast,N/A,0
ABC1002288,Office building,1/1/2021," $1,807,929.44 ", Partially amortizing ," $1,554,819.32 ",7.71%," $2,546,379.49 "," $140,050.87 ",120,78,25%,Northeast,Class B,0
ABC1002289,Office building,1/1/2016," $6,454,665.14 ", Partially amortizing ," $6,196,478.53 ",7.31%," $9,492,154.62 "," $424,299.31 ",60,48,35%,South,Class B,0
ABC1002290,Office building,1/1/2017," $11,365,813.03 ", Partially amortizing ," $10,645,978.20 ",6.56%," $14,207,266.28 "," $1,164,995.84 ",60,41,38%,Northeast,Class B,1
ABC1002291,Multifamily residential,1/1/2021," $15,119,031.39 ", Fully amortizing ," $2,771,822.42 ",5.76%," $23,998,462.53 "," $1,463,906.21 ",60,11,12%,Northeast,N/A,0
ABC1002292,Retail space,1/1/2015," $109,368.21 ", Partially amortizing ," $107,909.96 ",8.00%," $156,240.29 "," $13,702.27 ",60,56,7%,Northeast,N/A,1
ABC1002293,Retail space,1/1/2020," $3,730,941.12 ", Fully amortizing ," $2,052,017.62 ",8.16%," $5,568,568.84 "," $522,331.76 ",120,66,24%,Northeast,N/A,0
ABC1002294,Office building,1/1/2022," $559,046.69 ", Fully amortizing ," $204,983.79 ",6.23%," $810,212.59 "," $34,434.04 ",60,22,8%,South,Class A,0
ABC1002295,Office building,1/1/2020," $16,590,607.28 ", Partially amortizing ," $15,595,170.84 ",7.55%," $30,164,740.50 "," $1,194,523.72 ",120,102,26%,Northeast,Class C,0
ABC1002296,Multifamily residential,1/1/2022," $3,273,895.82 ", Partially amortizing ," $2,095,293.33 ",5.84%," $4,744,776.56 "," $452,177.21 ",120,12,4%,Northeast,N/A,0
ABC1002297,Office building,1/1/2022," $1,933,092.48 ", Partially amortizing ," $1,894,430.63 ",5.62%," $2,684,850.66 "," $69,000.66 ",60,54,12%,South,Class C,0
ABC1002298,Retail space,1/1/2019," $1,812,910.20 ", Partially amortizing ," $1,275,080.18 ",7.42%," $2,789,092.62 "," $232,889.23 ",120,31,5%,Northeast,N/A,0
ABC1002299,Retail space,1/1/2021," $4,497,549.18 ", Fully amortizing ," $1,274,305.60 ",7.27%," $6,814,468.46 "," $671,225.14 ",120,34,14%,Northeast,N/A,0
ABC1002300,Office building,1/1/2019," $1,263,790.40 ", Partially amortizing ," $1,238,514.59 ",7.48%," $2,340,352.58 "," $249,247.55 ",120,114,11%,Midwest,Class A,0
ABC1002301,Multifamily residential,1/1/2022," $6,696,901.83 ", Partially amortizing ," $6,406,702.75 ",6.05%," $10,801,454.56 "," $886,799.42 ",60,47,4%,Northeast,N/A,0
ABC1002302,Office building,1/1/2016," $8,739,577.41 ", Partially amortizing ," $7,079,057.70 ",7.45%," $11,350,100.53 "," $1,314,341.64 ",60,3,14%,Northeast,Class A,0
ABC1002303,Office building,1/1/2016," $2,963,314.43 ", Partially amortizing ," $1,886,643.52 ",7.59%," $4,938,857.39 "," $269,661.61 ",120,11,3%,Midwest,Class A,0
ABC1002304,Multifamily residential,1/1/2017," $8,439,397.38 ", Partially amortizing ," $7,679,851.61 ",7.00%," $10,291,948.02 "," $1,134,172.67 ",120,93,12%,Midwest,N/A,0
ABC1002305,Retail space,1/1/2017," $1,564,698.60 ", Partially amortizing ," $1,371,719.10 ",6.62%," $2,235,283.71 "," $191,340.29 ",60,23,6%,Northeast,N/A,0
ABC1002306,Multifamily residential,1/1/2019," $837,782.42 ", Partially amortizing ," $726,078.10 ",6.11%," $1,232,032.97 "," $104,476.40 ",60,20,11%,Northeast,N/A,0
ABC1002307,Multifamily residential,1/1/2015," $959,359.31 ", Partially amortizing ," $639,572.87 ",8.24%," $1,410,822.51 "," $122,882.64 ",180,80,2%,Northeast,N/A,0
ABC1002308,Office building,1/1/2016," $4,701,924.32 ", Fully amortizing ," $1,959,135.14 ",7.72%," $7,233,729.73 "," $363,133.23 ",60,25,40%,South,Class B,1
ABC1002309,Office building,1/1/2018," $7,053,385.58 ", Partially amortizing ," $5,995,377.75 ",7.09%," $8,707,883.44 "," $799,383.70 ",120,75,8%,Midwest,Class A,0
ABC1002310,Multifamily residential,1/1/2022," $3,938,190.32 ", Partially amortizing ," $2,441,678.00 ",6.27%," $6,251,095.75 "," $492,586.35 ",120,6,14%,South,N/A,0
ABC1002311,Retail space,1/1/2023," $9,758,701.03 ", Partially amortizing ," $5,985,336.63 ",5.73%," $13,941,001.48 "," $1,166,861.82 ",120,4,12%,Northeast,N/A,0
ABC1002312,Office building,1/1/2017," $4,265,016.04 ", Partially amortizing ," $4,208,149.16 ",7.02%," $6,092,880.05 "," $410,660.12 ",120,116,12%,Northeast,Class B,0
ABC1002313,Multifamily residential,1/1/2016," $6,480,443.20 ", Fully amortizing ," $3,618,247.45 ",7.50%," $9,391,946.66 "," $713,787.95 ",120,67,35%,South,N/A,0
ABC1002314,Multifamily residential,1/1/2022," $2,855,350.44 ", Partially amortizing ," $2,560,297.56 ",5.93%," $5,191,546.25 "," $329,144.03 ",60,29,11%,South,N/A,0
ABC1002315,Multifamily residential,1/1/2017," $1,952,309.29 ", Partially amortizing ," $1,731,047.57 ",6.50%," $3,615,387.57 "," $220,538.64 ",60,26,15%,Midwest,N/A,0
ABC1002316,Retail space,1/1/2017," $929,081.50 ", Partially amortizing ," $789,719.28 ",7.18%," $1,407,699.25 "," $126,552.16 ",120,75,1%,Midwest,N/A,0
ABC1002317,Office building,1/1/2018," $6,723,038.23 ", Partially amortizing ," $6,723,038.23 ",7.60%," $8,510,174.98 "," $361,682.44 ",120,120,15%,West,Class B,0
ABC1002318,Retail space,1/1/2017," $3,606,010.36 ", Fully amortizing ," $2,404,006.91 ",7.24%," $7,070,608.55 "," $526,053.28 ",120,80,13%,Northeast,N/A,0
ABC1002319,Office building,1/1/2021," $2,249,841.51 ", Fully amortizing ," $49,996.48 ",7.17%," $3,813,290.70 "," $242,525.29 ",180,4,23%,South,Class A,1
ABC1002320,Office building,1/1/2018," $1,207,099.89 ", Fully amortizing ," $905,324.92 ",5.51%," $1,857,076.75 "," $57,012.26 ",60,45,15%,South,Class B,0
ABC1002321,Retail space,1/1/2022," $4,291,531.36 ", Fully amortizing ," $715,255.23 ",5.92%," $5,799,366.70 "," $378,698.65 ",120,20,8%,West,N/A,0
ABC1002322,Office building,1/1/2023," $3,874,439.44 ", Fully amortizing ," $968,609.86 ",6.58%," $7,044,435.34 "," $35,222.18 ",60,15,14%,Northeast,Class B,0
ABC1002323,Retail space,1/1/2021," $6,231,956.64 ", Fully amortizing ," $4,673,967.48 ",7.24%," $8,902,795.20 "," $724,687.53 ",120,90,23%,South,N/A,0
ABC1002324,Office building,1/1/2019," $3,554,213.70 ", Fully amortizing ," $3,376,503.01 ",5.85%," $5,385,172.27 "," $322,033.30 ",60,57,8%,South,Class A,0
ABC1002325,Office building,1/1/2016," $5,459,694.75 ", Partially amortizing ," $5,423,296.78 ",7.42%," $8,399,530.38 "," $779,476.42 ",120,118,7%,Midwest,Class A,0
